full_name,first_name,last_name,company,Region(s),Stages,Industries
Amichai Shulman,Amichai,Shulman,Cyberstarts VC,Israel,Series A; Series B; Other Lists,"Security; Cybersecurity; Angel, Scout, and Solo-Capitalists"
Lior Simon,Lior,Simon,Cyberstarts VC,Israel,Seed; Series A; Series B; Other Lists,Payments; Enterprise Applications; Real Estate/PropTech; E-commerce; Security; Cybersecurity; Enterprise
Ofer Smadari,Ofer,Smadari,Cyberstarts VC,"Tel Aviv, Israel",Series A; Series B; Other Lists,"Payments; Security; SaaS; Israel; Angel, Scout, and Solo-Capitalists"
Ido Trivizki,Ido,Trivizki,Cyberstarts VC,Israel,Series A; Series B; Other Lists,Cybersecurity
Boaz Zilber,Boaz,Zilber,Cyberstarts VC,Israel,Series A; Series B; Other Lists,Security; Consumer Internet; Cybersecurity
Oren Charnoff,Oren,Charnoff,Hanaco Ventures,Israel,Seed; Series A; Other Lists,Food and Beverage; Logistics; AgTech; SaaS; Enterprise
Gadi Fisher,Gadi,Fisher,Hanaco Ventures,"Tel Aviv, Israel",Seed; Series A; Other Lists,Digital Health; Enterprise; FinTech; Israel
David Frankel,David,Frankel,Hanaco Ventures,"New York, New York",Seed; Series A; Other Lists,Cloud Infrastructure; FinTech; Enterprise; New York City
Gabi Heller,Gabi,Heller,Hanaco Ventures,"Tel Aviv, Israel",Seed; Series A; Series B; Other Lists,FinTech; Israel
Itai Hoffman,Itai,Hoffman,Hanaco Ventures,"Tel Aviv, Israel",Seed; Series A; Other Lists,Consumer Internet; Enterprise; Israel
Alon Lifshitz,Alon,Lifshitz,Hanaco Ventures,Israel,Seed; Other Lists,Enterprise Applications; MarketingTech; Cybersecurity; Enterprise; FinTech
Lior Prosor,Lior,Prosor,Hanaco Ventures,"New York; Brooklyn, New York",Seed,TransportationTech; Web3/Blockchain; AI; Consumer Internet
Pasha Romanovski,Pasha,Romanovski,Hanaco Ventures,"Tel Aviv, Israel",Seed; Series B; Other Lists,Media/Content; Advertising; Israel
Allison Stoloff,Allison,Stoloff,Hanaco Ventures,"New York, New York",Pre-seed; Seed; Other Lists,Consumer Internet; New York City
Yael Barsheshet,Yael,Barsheshet,Hetz Ventures,Israel,Pre-seed; Seed; Other Lists,Developer Tools; Cybersecurity; FinTech
Neil Cohen,Neil,Cohen,Hetz Ventures,"Tel Aviv, Israel",Pre-seed; Seed; Other Lists,Cybersecurity; Developer Tools; FinTech; Israel
Andrew Fine,Andrew,Fine,Hetz Ventures,Israel,Pre-seed; Seed; Other Lists,Developer Tools; Cybersecurity; FinTech
Shraga Katz,Shraga,Katz,Hetz Ventures,Israel,Pre-seed; Seed; Other Lists,Cybersecurity; Developer Tools; FinTech
Pavel Livshiz,Pavel,Livshiz,Hetz Ventures,Israel,Pre-seed; Seed; Other Lists,Developer Tools; Cybersecurity; FinTech
Judah Taub,Judah,Taub,Hetz Ventures,Israel,Seed; Series A; Other Lists,Developer Tools; Cybersecurity; SaaS; Enterprise; AI
Or Yahud,Or,Yahud,Hetz Ventures,Israel,Pre-seed; Seed; Other Lists,Cybersecurity; Developer Tools; FinTech
David Assia,David,Assia,iAngels,Israel,Seed; Series A; Other Lists,"Media/Content; TransportationTech; FinTech; Angel, Scout, and Solo-Capitalists"
Mor Assia,Mor,Assia,iAngels,Israel,Seed; Series A; Other Lists,AutoTech; FinTech; AI
Iddo Feinberg,Iddo,Feinberg,iAngels,Israel,Seed; Series A; Series B; Other Lists,SMB Software; Digital Health; FinTech
Shelly Hod Moyal,Shelly,Hod Moyal,iAngels,"Tel Aviv-Yafo, Israel; Tel Aviv, Israel",Seed; Series A; Other Lists,Digital Health; Health & Hospital Services; ClimateTech/CleanTech; Health IT; Consumer Internet; Enterprise; Israel
Eden Tzoubari,Eden,Tzoubari,iAngels,"Tel Aviv-Yafo, Israel",Seed; Series A; Series B; Other Lists,Media/Content; EnergyTech; Enterprise Applications; Health & Hospital Services; Digital Health; Health IT; IoT; Consumer Internet; Enterprise; FinTech; Israel
Ohad Hammer,Ohad,Hammer,Pontifax Venture Capital,Israel,Seed; Series A; Other Lists,Health & Hospital Services; BioTech
Momi Karako,Momi,Karako,Pontifax Venture Capital,Israel,Series A; Series B; Other Lists,FinTech
Tomer Kariv,Tomer,Kariv,Pontifax Venture Capital,"Tel Aviv, Israel",Seed; Other Lists,Pharmaceuticals; Health & Hospital Services; BioTech; Digital Health; Health IT; Israel
Silvia Noiman,Silvia,Noiman,Pontifax Venture Capital,Israel,Seed; Series A; Other Lists,Pharmaceuticals; BioTech
Ran Nussbaum,Ran,Nussbaum,Pontifax Venture Capital,Israel,Seed; Series A; Series B; Other Lists,Pharmaceuticals; BioTech; Health & Hospital Services
Iyona Rajkomar,Iyona,Rajkomar,Pontifax Venture Capital,London,Seed; Series A; Other Lists,Pharmaceuticals; BioTech
Royi Benyossef,Royi,Benyossef,Samsung NEXT Ventures,"Tel Aviv, Israel",Pre-seed; Seed; Series A; Other Lists,"Creator/Passion Economy; Web3/Crypto; Cloud Infrastructure; Web3/Blockchain; Developer Tools; Data Services; Security; Enterprise; AI; Israel; Angel, Scout, and Solo-Capitalists; Investors who invested in female founders; Investors who invested in diverse founders"
Sam Campbell,Sam,Campbell,Samsung NEXT Ventures,Israel; Canada; United States; Global,Seed; Series A; Series B; Other Lists,Entertainment & Sports; Media/Content; Gaming/eSports; Robotics; Health & Hospital Services; Web3/Crypto; Web3/Blockchain; Health IT; AI; FinTech; San Francisco Bay Area
Leo Chang,Leo,Chang,Samsung NEXT Ventures,"San Francisco, California; San Jose, California",Seed; Series A; Series B; Other Lists,AR/VR; TransportationTech; IoT; Data Services; Security; Analytics; Cloud Infrastructure; AI; SaaS; Enterprise; San Francisco Bay Area
Andy Duong,Andy,Duong,Samsung NEXT Ventures,San Francisco Bay Area,Pre-seed; Seed; Other Lists,IoT; Web3/Crypto; Web3/Blockchain; Cloud Infrastructure
Lizzy Goldman,Lizzy,Goldman,Samsung NEXT Ventures,"Tel Aviv, Israel",Pre-seed; Seed; Other Lists,IoT; AI; Israel
Antonio Key,Antonio,Key,Samsung NEXT Ventures,San Francisco Bay Area,Pre-seed; Seed; Other Lists,Wellness & Fitness; Games; Entertainment & Sports; Gaming/eSports; Media/Content; Web3/Blockchain; Web3/Crypto; Marketplaces; FinTech
Joan Kim,Joan,Kim,Samsung NEXT Ventures,San Francisco Bay Area,Pre-seed; Seed; Other Lists,IoT; SaaS
Brendon Kim,Brendon,Kim,Samsung NEXT Ventures,Canada; Israel; San Francisco Bay Area,Seed; Series A; Other Lists,Creator/Passion Economy; Social Commerce; Entertainment & Sports; Gaming/eSports; Web3/Crypto; Web3/Blockchain; Consumer Internet; FinTech; AI
Amy Lee,Amy,Lee,Samsung NEXT Ventures,"Seoul, South Korea",Pre-seed; Seed,Enterprise Infrastructure; Media/Content; Digital Health; Web3/Crypto; Web3/Blockchain; Health IT; AI
David Lee,David,Lee,Samsung NEXT Ventures,"Cupertino, California",Pre-seed; Seed; Other Lists,Robotics; Social Networks; SaaS; San Francisco Bay Area
Raymond Liao,Raymond,Liao,Samsung NEXT Ventures,"Mountain View, California",Pre-seed; Seed; Other Lists,Cybersecurity; Analytics; Developer Tools; Cloud Infrastructure; San Francisco Bay Area
Jonathan Machado,Jonathan,Machado,Samsung NEXT Ventures,"New York, New York; Tel Aviv, Israel",Seed; Series A; Series B; Other Lists,Hardware; Health & Hospital Services; Digital Health; IoT; Health IT; Israel; New York City
Eyal Miller,Eyal,Miller,Samsung NEXT Ventures,Israel,Pre-seed; Seed; Other Lists,Enterprise Applications; AR/VR; Cybersecurity; IoT; Consumer Internet; AI
Caroline Rehfuss,Caroline,Rehfuss,Samsung NEXT Ventures,"New York, New York",Pre-seed; Seed; Other Lists,Cybersecurity; IoT; New York City
Felix Petersen,Felix,Petersen,Samsung NEXT Ventures,,,
John Rodkin,John,Rodkin,Samsung NEXT Ventures,"San Francisco, California",Other Lists,San Francisco Bay Area
Gus Warren,Gus,Warren,Samsung NEXT Ventures,,,
Ronen Assia,Ronen,Assia,Team8,London; Israel,Seed; Series A; Series B; Other Lists,Medical Devices; FinTech
Juriaan Duizendstraal Bensoussan,Juriaan,Duizendstraal Bensoussan,Team8,Israel,Seed; Series A; Series B; Other Lists,DeepTech; Data Services; Consumer Internet; Cybersecurity; Enterprise; FinTech; AI
Sarit Firon,Sarit,Firon,Team8,"Israel; New York, New York",Seed; Series A; Other Lists,Consumer Internet; Enterprise; New York City
Israel Grimberg,Israel,Grimberg,Team8,Israel,Seed; Series A; Series B; Other Lists,Cybersecurity
Liran Grinberg,Liran,Grinberg,Team8,Israel,Pre-seed; Seed; Series A; Other Lists,Enterprise Infrastructure; Cybersecurity; DeepTech; Web3/Blockchain; Cloud Infrastructure; IoT; Security; SaaS; Enterprise; AI; Diverse Investors; Investors who were founders; Investors who invested in female founders; Investors who invested in diverse founders
Assaf Mischari,Assaf,Mischari,Team8,Israel,Seed; Series A; Series B; Other Lists,Analytics; Data Services; Cybersecurity
Lluis Pedragosa,Lluis,Pedragosa,Team8,"New York, New York",Seed; Series A; Series B; Other Lists,Cybersecurity; MarketingTech; Data Services; AI; Enterprise; FinTech; New York City
Rakefet Russak Aminoach,Rakefet,Russak Aminoach,Team8,"Tel Aviv-Yafo, Israel",Seed; Series A; Series B; Other Lists,FinTech; Israel
Yuval Shachar,Yuval,Shachar,Team8,"Tel Aviv, Israel",Seed; Series A; Series B; Other Lists,Cybersecurity; Enterprise; FinTech; AI; Israel
Yuval Tal,Yuval,Tal,Team8,"New York, New York; Israel",Pre-seed; Seed; Series A; Series B; Other Lists,E-commerce; FinTech; New York City
Nadav Zafrir,Nadav,Zafrir,Team8,"Netanya, Israel; New York, New York",Seed; Series A; Series B; Other Lists,Cybersecurity; Data Services; Enterprise; FinTech; Israel; New York City
Amir Zilberstein,Amir,Zilberstein,Team8,New York City,Seed; Series A; Series B; Other Lists,Cybersecurity; Data Services; Cloud Infrastructure; Enterprise; FinTech
Natalia Ahmadian,Natalia,Ahmadian,Earlybird Venture Capital,"Berlin, Germany",Seed; Series A; Series B,ConstructionTech; Logistics; TransportationTech
Selin Anil,Selin,Anil,Earlybird Venture Capital,Istanbul,Seed; Series A; Series B,Medical Devices; SMB Software; IoT; BioTech; Health & Hospital Services; Health IT; SaaS; Consumer Internet
Mehmet Atici,Mehmet,Atici,Earlybird Venture Capital,Istanbul,Seed; Series A; Series B,SMB Software; Marketplaces; SaaS; Enterprise
Akash Bajwa,Akash,Bajwa,Earlybird Venture Capital,United Kingdom,Seed,Web3/Crypto; FinTech
Moritz Belling,Moritz,Belling,Earlybird Venture Capital,Hamburg,Seed; Series A,TransportationTech; EnergyTech; IoT; Enterprise
Hendrik Brandis,Hendrik,Brandis,Earlybird Venture Capital,"Munich, Germany",Seed; Series A; Series B,Manufacturing; IoT; Enterprise; Consumer Internet
Lionel Carnot,Lionel,Carnot,Earlybird Venture Capital,Switzerland,Series A; Series B,Drug Delivery; Diagnostics; Health & Hospital Services; Health IT
Laurin Class,Laurin,Class,Earlybird Venture Capital,"Munich, Germany",Seed; Series A; Series B,LegalTech; Logistics; Developer Tools; TransportationTech; EnergyTech; Education; IoT; Web3/Blockchain; Web3/Crypto; AI
Frédéric du Bois-Reymond,Frédéric,du Bois-Reymond,Earlybird Venture Capital,Germany,Seed; Series A; Series B,Sales & CRM; Manufacturing; Robotics; EnergyTech; IoT
Marieke Gehres,Marieke,Gehres,Earlybird Venture Capital,Germany,Seed; Series A,LegalTech; Logistics; TransportationTech; EnergyTech; Media/Content; IoT; Web3/Blockchain; Web3/Crypto; AI; FinTech
Can Gemici,Can,Gemici,Earlybird Venture Capital,Istanbul,Seed; Series A; Series B,Medical Devices; SMB Software; IoT; BioTech; Health & Hospital Services; Health IT; SaaS; Consumer Internet
Florent Gros,Florent,Gros,Earlybird Venture Capital,"Antwerp, Belgium; Basel, Switzerland",Seed; Series A; Series B,Diagnostics; Pharmaceuticals; Digital Health; BioTech; Health & Hospital Services; Health IT
Fabian Heilemann,Fabian,Heilemann,Earlybird Venture Capital,"Berlin, Germany",Pre-seed; Seed; Series A,Impact; Logistics; TransportationTech; ClimateTech/CleanTech; Marketplaces; Consumer Internet; Enterprise; SaaS
Michael Hoeck,Michael,Hoeck,Earlybird Venture Capital,"Munich, Germany",Seed; Series A; Series B,Material Science; AutoTech; Education; Food and Beverage; TransportationTech
Baturay Kaya,Baturay,Kaya,Earlybird Venture Capital,Istanbul,Pre-seed; Seed; Series A; Series B,Consumer Internet; Enterprise; AI
Arda Kirkagac,Arda,Kirkagac,Earlybird Venture Capital,Istanbul,Seed; Series A; Series B,Medical Devices; SMB Software; IoT; BioTech; Health & Hospital Services; Health IT; SaaS; Consumer Internet
Paul Klemm,Paul,Klemm,Earlybird Venture Capital,Germany,Seed; Series A; Series B,Sales & CRM; Space; Real Estate/PropTech; Enterprise Applications; ClimateTech/CleanTech
Laurent Le Portz,Laurent,Le Portz,Earlybird Venture Capital,"Paris, France",Seed; Series A; Series B,Diagnostics; Medical Devices; Pharmaceuticals; BioTech; Health & Hospital Services
Dan Lupu,Dan,Lupu,Earlybird Venture Capital,Romania,Seed; Series A; Series B,Enterprise Applications; Cloud Infrastructure
Paulina Lutz,Paulina,Lutz,Earlybird Venture Capital,Germany,Seed; Series A,Retail; AgTech; Food and Beverage; E-commerce
Roland Manger,Roland,Manger,Earlybird Venture Capital,Germany,Seed; Series A; Series B,Hardware; Enterprise Applications; Real Estate/PropTech; Enterprise
Christoph Massner,Christoph,Massner,Earlybird Venture Capital,"Berlin, Germany",Seed; Series A,Digital Health; Health & Hospital Services; Health IT
Rolf Mathies,Rolf,Mathies,Earlybird Venture Capital,"Berlin, Germany",Seed; Series A,Digital Health; Health & Hospital Services; Health IT
Gregor Matthies,Gregor,Matthies,Earlybird Venture Capital,Switzerland,Seed; Series A; Series B,AutoTech; Manufacturing; Gaming/eSports; Logistics; TransportationTech
Alexander Müller,Alexander,Müller,Earlybird Venture Capital,"Berlin, Germany",Seed; Series A; Series B,Medical Devices; SMB Software; IoT; BioTech; Health & Hospital Services; Health IT; SaaS; Consumer Internet
Christian Nagel,Christian,Nagel,Earlybird Venture Capital,"Berlin, Germany",Seed; Series A; Series B,Insurance; Data Services; Web3/Blockchain; Web3/Crypto; AI; FinTech
Rabab Nasrallah,Rabab,Nasrallah,Earlybird Venture Capital,Germany,Seed; Series A; Series B,Digital Health; Health & Hospital Services; Health IT
Oguzhan Ozer,Oguzhan,Ozer,Earlybird Venture Capital,Istanbul,Seed; Series A,Medical Devices; SMB Software; IoT; BioTech; Health & Hospital Services; Health IT; SaaS; Consumer Internet
Thom Rasche,Thom,Rasche,Earlybird Venture Capital,"Berlin, Germany",Seed; Series A; Series B,Medical Devices; Digital Health; Consumer Health; Health & Hospital Services; Health IT
Stephan Rauscher,Stephan,Rauscher,Earlybird Venture Capital,Germany,Seed; Series A; Series B,DeepTech; Web3/Blockchain; Web3/Crypto; FinTech
Tim Rehder,Tim,Rehder,Earlybird Venture Capital,"Berlin, Germany",Series A,AR/VR; Web3/Blockchain; AI; FinTech
Andre Retterath,Andre,Retterath,Earlybird Venture Capital,"Munich, Germany",Seed; Series A,LegalTech; DeepTech; Developer Tools; Robotics; Insurance; Data Services; Enterprise Applications; AI
Nina Rinke,Nina,Rinke,Earlybird Venture Capital,"Berlin, Germany",Seed; Series A,LegalTech; Digital Health; Consumer Internet; FinTech
Michael Schmitt,Michael,Schmitt,Earlybird Venture Capital,"Berlin, Germany",Seed; Series B,Insurance; AI; Enterprise
Moritz Schollaehn,Moritz,Schollaehn,Earlybird Venture Capital,"Berlin, Germany",Seed; Series A; Series B,LegalTech; Developer Tools; EnergyTech; Data Services; IoT; Web3/Blockchain; E-commerce; Web3/Crypto; AI; FinTech
Philipp Semmer,Philipp,Semmer,Earlybird Venture Capital,"Berlin, Germany",Seed; Series A; Series B,LegalTech; Real Estate/PropTech; Web3/Blockchain; Web3/Crypto; Digital Health; Health IT; FinTech
Cem Sertoglu,Cem,Sertoglu,Earlybird Venture Capital,"Istanbul; Warsaw, Poland; Prague",Seed; Series A; Series B,Travel; Security; SMB Software; Insurance; E-commerce; Cloud Infrastructure; Marketplaces; SaaS; Enterprise; FinTech
Cécile Tréboit,Cécile,Tréboit,Earlybird Venture Capital,"Paris, France",Seed; Series A,Games; Web3/Blockchain; Web3/Crypto
Johannes Triebs,Johannes,Triebs,Earlybird Venture Capital,Germany,Seed; Series A; Series B,AR/VR; TransportationTech; IoT; ClimateTech/CleanTech
Marie-Thérèse von Buttlar,Marie-Thérèse,von Buttlar,Earlybird Venture Capital,"Munich, Germany",Seed; Series A,Digital Health; Health IT; Consumer Internet
John Yianni,John,Yianni,Earlybird Venture Capital,Belgium,Seed,Medical Devices
Daniele Pascal,Daniele,Pascal,RedSeed Ventures,"Milan, Italy",Seed; Series A,Consumer Internet; Enterprise
Francesco Pontiggia,Francesco,Pontiggia,RedSeed Ventures,"Milan, Italy; Global",Seed; Series A,Consumer Internet; Enterprise
Elisa Schembari,Elisa,Schembari,RedSeed Ventures,"Milan, Italy",Seed; Series A,Consumer Internet; Enterprise
Roberto Zanco,Roberto,Zanco,RedSeed Ventures,"Milan, Italy",Seed; Series A,Space; Pharmaceuticals; IoT; Consumer Health; ClimateTech/CleanTech; Digital Health; BioTech; Health IT; Consumer Internet; Enterprise
Matteo Colombo,Matteo,Colombo,NEVA SGR,"Milan, Italy",Seed; Series A,DeepTech; FinTech
Mario Costantini,Mario,Costantini,NEVA SGR,Italy,Series A; Series B; Other Lists,Space; DeepTech; TransportationTech; Analytics; ClimateTech/CleanTech; Web3/Blockchain; Insurance; Cloud Infrastructure; AI; FinTech; Diverse Investors
Ron Gentile,Ron,Gentile,NEVA SGR,"San Francisco Bay Area; San Francisco, California; Palo Alto, California",Seed; Series A; Other Lists,Enterprise Applications; Media/Content; Consumer Health; Digital Health; Health IT; Health & Hospital Services; Consumer Internet; Enterprise
Alberto Graziano,Alberto,Graziano,NEVA SGR,"Italy; Milan, Italy; Piedmont",Seed; Series A,DeepTech; FinTech
Alberto Greppi,Alberto,Greppi,NEVA SGR,Italy; Piedmont,Seed; Series A,Consumer Internet; Enterprise; FinTech
Patrick Guerra,Patrick,Guerra,NEVA SGR,"San Francisco Bay Area; San Francisco, California",Seed; Series A; Other Lists,Manufacturing; Logistics; Medical Devices; SMB Software; Enterprise Applications; Enterprise
Niccolò Mussi,Niccolò,Mussi,NEVA SGR,Italy; Piedmont,Seed; Series A,DeepTech; FinTech
Giovanni Paratore,Giovanni,Paratore,NEVA SGR,Italy,Seed; Series A,DeepTech; FinTech
Cosimo Scarinci,Cosimo,Scarinci,NEVA SGR,Italy,Seed; Series A,DeepTech; FinTech
James Riney,James,Riney,Coral Capital,Tokyo,Seed; Series A,Advertising; AR/VR; IoT; Social Networks; Health & Hospital Services; Web3/Crypto; Consumer Internet; Enterprise
Yohei Sawayama,Yohei,Sawayama,Coral Capital,Tokyo,Seed,Consumer Internet; Enterprise
Evan Mair,Evan,Mair,Gumi Cryptos Capital,"San Francisco, California",Seed; Series A; Series B; Other Lists,Gaming/eSports; Payments; Analytics; Web3/Blockchain; Web3/Crypto; Cloud Infrastructure; Marketplaces; Enterprise; San Francisco Bay Area
Miko Matsumura,Miko,Matsumura,Gumi Cryptos Capital,Tokyo; San Francisco Bay Area,Seed; Series A; Other Lists,Web3/Blockchain; Web3/Crypto; FinTech
Ryuichi Tanaka,Ryuichi,Tanaka,Gumi Cryptos Capital,Japan,Seed; Series A; Series B,Payments; Gaming/eSports; Analytics; Cloud Infrastructure; Marketplaces; Web3/Blockchain; Web3/Crypto; Enterprise
"Rui  Zhang	",Rui ,"Zhang	",Gumi Cryptos Capital,,Seed; Series A,Web3/Blockchain; Web3/Crypto; FinTech
James Han,James,Han,Z Venture Capital,"Seoul, South Korea",Seed; Series A; Series B,Cybersecurity; Data Services; Media/Content; E-commerce; Digital Health; Health & Hospital Services; Health IT; AI; SaaS; FinTech
Shinichiro Hori,Shinichiro,Hori,Z Venture Capital,Japan,Seed; Series A; Series B,AudioTech; Gaming/eSports; Cybersecurity; Media/Content; Enterprise Applications; Web3/Blockchain; Web3/Crypto; AI; Enterprise
Hyung Kim,Hyung,Kim,Z Venture Capital,,Seed; Series A; Other Lists,Social Commerce; Space; Future of Work; Robotics; Social Networks; Food and Beverage; Marketplaces; E-commerce; AI; FinTech; San Francisco Bay Area
Lucheng Li,Lucheng,Li,Z Venture Capital,Tokyo,Seed; Series A; Series B,Web3/Blockchain; Web3/Crypto; FinTech
Kay Lim,Kay,Lim,Z Venture Capital,"Seoul, South Korea",Seed; Series A; Series B,Messaging; Cybersecurity; Data Services; Media/Content; Web3/Blockchain; E-commerce; Web3/Crypto; AI; SaaS; Consumer Internet
Keita Matsuyama,Keita,Matsuyama,Z Venture Capital,Tokyo,Seed; Series A; Series B,AudioTech
Kohei Okubo,Kohei,Okubo,Z Venture Capital,Japan,Seed; Series A; Series B,E-commerce; Consumer Internet
Masaki Yuda,Masaki,Yuda,Z Venture Capital,Japan,Seed; Series A; Series B,FinTech
Eamonn Carey,Eamonn,Carey,Zeroth,,Pre-seed; Seed; Other Lists,Food and Beverage; AI; London
Jin Tanaka,Jin,Tanaka,Zeroth,Japan; Hong Kong; Taiwan; China,Pre-seed; Seed,AI
Ibrahim AlSuwaidi,Ibrahim,AlSuwaidi,DCM,"San Francisco, California",Seed; Series A; Other Lists,IoT; Consumer Internet; San Francisco Bay Area
David Chao,David,Chao,DCM,"San Francisco, California",Seed; Series A; Other Lists,Consumer Internet; Enterprise; San Francisco Bay Area
David Cheng,David,Cheng,DCM,"San Francisco Bay Area; Menlo Park, California",Seed; Series A; Series B; Other Lists,Social Networks; Health IT; FinTech; SaaS; Consumer Internet
Osuke Honda,Osuke,Honda,DCM,San Francisco Bay Area,Seed; Series A; Other Lists,Consumer Internet; Enterprise
Jason Krikorian,Jason,Krikorian,DCM,San Francisco Bay Area,Seed; Series A; Other Lists,IoT; Digital Health; Media/Content
Jeffrey Lee,Jeffrey,Lee,DCM,"Menlo Park, California",Seed; Series A; Other Lists,Social Commerce; SMB Software; Consumer Internet; Enterprise; San Francisco Bay Area
Andre Levi,Andre,Levi,DCM,"Menlo Park, California",Seed; Series A; Other Lists,Games; Social Commerce; SMB Software; Cloud Infrastructure; SaaS; Consumer Internet; San Francisco Bay Area
Hurst Lin,Hurst,Lin,DCM,United States; China; Beijing,Seed; Series A; Series B,Travel; Media/Content; Social Networks; E-commerce; Consumer Internet; Enterprise
Kyle Lui,Kyle,Lui,DCM,"San Francisco Bay Area; China; Japan; New York, New York; Boston, Massachusetts; Seattle, Washington; Toronto, Ontario; Los Angeles, California",Pre-seed; Seed; Series A; Series B; Other Lists,Real Estate/PropTech; Sales & CRM; TransportationTech; Consumer Health; SaaS; SMB Software; Health IT; Marketplaces; FinTech; Enterprise; British Columbia; Seattle / Portland; Diverse Investors; Los Angeles / Southern California; Boston / New England; Investors who were founders; Investors who invested in female founders; Investors who invested in diverse founders; New York City
Ann Chien,Ann,Chien,Infinity Ventures Crypto,Taiwan,Seed; Series A,Gaming/eSports; Web3/Blockchain
Gabby Dizon,Gabby,Dizon,Infinity Ventures Crypto,Metro Manila; Global,Pre-seed; Seed,Gaming/eSports; Web3/Crypto; Web3/Blockchain
Jonathan Hayashi,Jonathan,Hayashi,Infinity Ventures Crypto,Taiwan,Seed; Series A; Series B,Web3/Crypto; FinTech
Abby Hsu,Abby,Hsu,Infinity Ventures Crypto,Taiwan,Seed; Series A,Gaming/eSports; Education; SMB Software; Web3/Blockchain; E-commerce; Marketplaces; AI; Consumer Internet; SaaS; FinTech
Chaval (Richie) Jiaravanon,Chaval (Richie),Jiaravanon,Infinity Ventures Crypto,"Bangkok, Thailand",Seed,Consumer Internet
Ronald Lam,Ronald,Lam,Infinity Ventures Crypto,Hong Kong,Seed; Series A,FinTech
Jor JT Law,Jor JT,Law,Infinity Ventures Crypto,Hong Kong,Seed; Series A,Manufacturing; Media/Content; Education; Web3/Blockchain
Hero C. Pathomsak,Hero C.,Pathomsak,Infinity Ventures Crypto,"Bangkok, Thailand",Seed; Series A,Gaming/eSports; Real Estate/PropTech; Web3/Crypto
Akio Tanaka,Akio,Tanaka,Infinity Ventures Crypto,Global,Seed; Series A,TransportationTech; Web3/Blockchain; Web3/Crypto; Consumer Internet
Steve Tsao,Steve,Tsao,Infinity Ventures Crypto,Taiwan,Seed; Series A,Games; Gaming/eSports; Media/Content; Education; E-commerce; Web3/Crypto; FinTech
Daniel Wang,Daniel,Wang,Infinity Ventures Crypto,Shanghai,Seed; Series A,Entertainment & Sports; Impact; Gaming/eSports; ClimateTech/CleanTech
Alex Yeh,Alex,Yeh,Infinity Ventures Crypto,Taiwan,Seed; Series A,Web3/Blockchain; Web3/Crypto
Taylor Clauson,Taylor,Clauson,Abstraction Capital,United States; Canada,Pre-seed; Seed; Other Lists,Security; Analytics; Developer Tools; Data Services; Cloud Infrastructure; Enterprise; AI; SaaS; Midwest; Investors who invested in female founders; Investors who invested in diverse founders
John Fein,John,Fein,Firebrand Ventures,"Kansas City, Missouri",Seed; Other Lists,ClimateTech/CleanTech; IoT; Enterprise; Midwest
Maranda Manning,Maranda,Manning,Firebrand Ventures,"Kansas City, Missouri",Seed; Other Lists,Social Networks; E-commerce; Enterprise; Midwest
Shigeru Handa,Shigeru,Handa,Asia Africa Investment & Consulting (AAIC),Singapore,Seed; Series A; Series B,Diagnostics; Digital Health; Health & Hospital Services; Health IT
Nobuhiko Ichimiya,Nobuhiko,Ichimiya,Asia Africa Investment & Consulting (AAIC),Nigeria,Seed; Series A; Series B,Digital Health; Health & Hospital Services; Health IT
Hiroki Ishida,Hiroki,Ishida,Asia Africa Investment & Consulting (AAIC),Kenya,Seed; Series A; Series B,Digital Health; Health & Hospital Services; Health IT
Faith Kanyiri,Faith,Kanyiri,Asia Africa Investment & Consulting (AAIC),Kenya,Seed; Series A; Series B,Digital Health; Health & Hospital Services; Health IT; FinTech
Tetsuo Koike,Tetsuo,Koike,Asia Africa Investment & Consulting (AAIC),Singapore,Seed; Series A,Digital Health; Health IT; Health & Hospital Services
Angela Li,Angela,Li,Asia Africa Investment & Consulting (AAIC),Singapore,Seed; Series A; Series B,Digital Health; Health & Hospital Services; Health IT
Asuka Mizuguchi,Asuka,Mizuguchi,Asia Africa Investment & Consulting (AAIC),Nigeria,Seed; Series A; Series B,Digital Health; Health & Hospital Services; Health IT
David Ndegwa,David,Ndegwa,Asia Africa Investment & Consulting (AAIC),Kenya,Seed; Series A; Series B,Digital Health; Health & Hospital Services; Health IT
Delgertsetseg Tsognemekh,Delgertsetseg,Tsognemekh,Asia Africa Investment & Consulting (AAIC),Tokyo,Seed; Series A; Series B,Digital Health; Health & Hospital Services; Health IT
Susumu Tsubaki,Susumu,Tsubaki,Asia Africa Investment & Consulting (AAIC),Global,Seed; Series A; Series B,Digital Health; Health & Hospital Services; Health IT
Shinji Yamanaka,Shinji,Yamanaka,Asia Africa Investment & Consulting (AAIC),Singapore,Seed; Series A; Series B,Digital Health; Health IT; Health & Hospital Services
Dan Bertoli,Dan,Bertoli,Quona Capital,"Washington, District of Columbia",Seed; Series A; Other Lists,"Impact; FinTech; Washington, D.C."
Johan Bosini,Johan,Bosini,Quona Capital,"Washington, District of Columbia",Seed; Series A; Other Lists,"Impact; FinTech; Washington, D.C."
Rafa de la Guia,Rafa,de la Guia,Quona Capital,Chile; Peru; Mexico; Brazil; Colombia,Pre-seed; Seed; Series A; Other Lists,Supply Chain Tech; ClimateTech/CleanTech; SMB Software; Real Estate/PropTech; Web3/Blockchain; Web3/Crypto; Payments; AgTech; Marketplaces; FinTech; LatAm (Latin America)
